Stemmed Text
helpfulnessdenomin 2
score 5
summari love gluten free oatmeal
text us celiac diseas product lifesav could better get almost half price groceri health food store love mccann instant oatmeal flavorsbr br thanksbr abbi
productid b001eo5qw8
profilenam zardoz focuspul
helpfulnessnumer 1
helpfulnessdenomin 1
score 5
summari oatmeal
text els need know oatmeal instant make half cup lowfat milk add raisinsnuk 90 second expens kroger store brand oatmeal mayb littl tastier better textur someth still oatmeal mmm conveni
productid b001eo5qw8
profilenam jerri reith
helpfulnessnumer 0
helpfulnessdenomin 0
score 4
summari good way start day
text visit friend nate morn coffe came storag room packet mccann instant irish oatmeal suggest tri use stash sometim nate dose give chanc say end tri appl cinn found tasteful made water powder milk goe good oj coffe slice toast readi take worldor day least jerri reith
productid b001eo5qw8
profilenam kypondman
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari wife favorit breakfast
text order wife reccomend daughter almost everi morn like flavor she happi im happybr hrefhttpwwwamazoncomgpproductb001eo5qw8mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6a
productid b001eo5qw8
profilenam garrett
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari wouldnt buy oatmeal mcann tast great
text varieti pack tast greatbr br everi morn 030 cent per meal dont understand everyon earth isnt buy stuff upbr br mapl brown sugar terrif follow appl cinnamon follow regular dont get tire ole thing tast greatbr br boil water small pot empti packet 2 bowl pour boil water watch expand 2x sizebr br tast realli good take minut preparebr br sure everyon earth isnt conveni healthi quick excel qualiti extrem cheap
productid b001eo5qw8
profilenam dick baldwin christob
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari oatmeal oatmeal lover
text mccann make oatmeal everi oatmeal connoisseur whether one like raw pellet state cook half hour sloth addl instant done microwav three minut good that sure beauti instant varieti avail differ flavor well regularbr varieti pack allow differ tast explor well give chanc experi differ mccann wellknown oatmeal person like mccann cook thicker bodi top brand america appl cinnamon though tend littl liquidi may want experi amount water add 1300watt microwav oatmeal cook one minut twentyseven second also watch get handl much time water usebr bad thing consid bad thing offer buy lot youll end six tencount box good whole famili oatmealeat your singl person alon well love oatmeal
productid b001eo5qw8
profilenam roger puglies
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari foodgreat
text mccann oatmeal everi morn order amazon abl save almost 300 per boxbr great product tast great healthi
productid b001eo5qw8
profilenam mother 9
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari good hot breakfast
text mccann oatmeal good qualiti choic favorit appl cinnamon find none overli sugari good hot breakfast 2 minut excel
productid b001eo5qw8
profilenam leschk
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari great tast conveni
text realli like mccann steel cut oat find dont cook oftenbr tast much better groceri store brand convenientbr anyth keep eat oatmeal regularli good thing
productid b001eo5qw8
profilenam k freel
helpfulnessnumer 0
helpfulnessdenomin 0
score 3
summari hearti oatmeal
text seem littl wholesom supermarket brand somewhat mushi doesnt quit much flavor either didnt pass muster kid probabl wont buy
productid b001eo5qw8
profilenam grumpyrainbow
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari good
text good oatmeal like appl cinnamon best though wouldnt follow direct packag sinc alway come soupi tast could sinc like oatmeal realli thick add milk top
productid b001eo5qw8
profilenam kbogo shoelov
helpfulnessnumer 1
helpfulnessdenomin 2
score 3
summari mushi
text flavor good howev see differc oaker oat brand mushi
productid b001eo5qw8
profilenam knitti pant
helpfulnessnumer 1
helpfulnessdenomin 2
score 4
summari good next time wont order varieti pack
text realli like mapl brown sugar flavor regular fine brown sugar ad appl cinnamon flavor ok quick easi satisfi breakfast ill order brand varieti ill get mapl brown sugar
