neg,neu,pos,compound,Text
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari yummi
0.077,0.599,0.323,0.9485,text got mum diabet need watch sugar intak father simpli choos limit unnecessari sugar intak she one sweet tooth love toffe would never guess theyr sugarfre great eat pretti much guilt free impress ive order w dark chocol take offic ill eat instead snack sugari sweetsbr excel
0.0,1.0,0.0,0.0,productid b0001pb9fi
0.0,0.465,0.535,0.3182,profilenam canadian fan
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,0.488,0.512,0.6369,summari best hot sauc world
0.03,0.795,0.175,0.9307,text dont know cactu tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummedbr br magic internet case sauc ecstat itbr br love hot saucei mean realli love hot sauc dont want sauc tastelessli burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucebr br thank person incred servic
0.0,1.0,0.0,0.0,productid b003f6uo7k
0.0,1.0,0.0,0.0,profilenam sherril
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.328,0.672,0.6249,summari great machin
0.064,0.65,0.286,0.9284,text never huge coffe fan howev mother purchas littl machin talk tri latt macciato coffe shop better one like product usual noncoffe drinkerbr littl dolch guesto machin super easi use prepar realli good coffeelattecappuccinoetc less minut water heat would recommend dolc gusto anyon good price iam get one
0.0,1.0,0.0,0.0,productid b003f6uo7k
0.0,1.0,0.0,0.0,profilenam molli v smith staral
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari tast
0.0,0.392,0.608,0.9081,text offer great price great tast thank amazon sell productbr br staral
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam potter
0.0,1.0,0.0,0.0,helpfulnessnumer 19
0.0,1.0,0.0,0.0,helpfulnessdenomin 19
0.0,1.0,0.0,0.0,score 4
0.0,0.417,0.583,0.6369,summari best instant oatmeal
0.027,0.76,0.213,0.9735,text mccann instant oatmeal great must oatmeal scrape togeth two three minut prepar escap fact howev even best instant oatmeal nowher near good even store brand oatmeal requir stovetop prepar still mccann good get instant oatmeal even better organ allnatur brand tri varieti mccann varieti pack tast good prepar microwav ad boil water conveni extrem time issuebr br mccann use actual cane sugar instead high fructos corn syrup help decid buy product real sugar tast better harm stuff one thing like though mccann use thicken oat plu water plu heat make creami tasti oatmeal without need guar gum conveni product mayb guar gum sit bowl instant mccann becom thick gluey
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.538,0.462,0.0,-0.5423,profilenam megan bad nicknam
0.0,1.0,0.0,0.0,helpfulnessnumer 13
0.0,1.0,0.0,0.0,helpfulnessdenomin 13
0.0,1.0,0.0,0.0,score 4
0.0,0.408,0.592,0.4404,summari good instant
0.03,0.578,0.392,0.9776,text good instant oatmeal best oatmeal brand use cane sugar instead high fructous corn syrup better sweet doctor say form sugar better great cold morn dont time make mccann steel cut oat appl cinnamon best mapl brown sugar regular good plu dont requir doctor actual tell three flavor apart
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam corbyjam
0.0,1.0,0.0,0.0,helpfulnessnumer 9
0.0,1.0,0.0,0.0,helpfulnessdenomin 9
0.0,1.0,0.0,0.0,score 5
0.0,0.494,0.506,0.6249,summari great irish oatmeal hurri
0.0,0.799,0.201,0.9201,text instant oatmeal becom soggi minut water hit bowl mccann instant oatmeal hold textur excel flavor good time mccann regular oat meal excel may take bit longer prepar time morn best instant brand ive ever eaten close second noninst varietybr br mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam j ryan
0.0,1.0,0.0,0.0,helpfulnessnumer 3
0.0,1.0,0.0,0.0,helpfulnessdenomin 3
0.0,1.0,0.0,0.0,score 4
0.0,1.0,0.0,0.0,summari satisfi
0.0,0.783,0.217,0.8979,text mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6br br im fan mccann steelcut oat thought id give instant varieti tri found hardi meal sweet great folk like postbariatr surgeri need food palat easili digest fiber wont make bloat
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,0.548,0.452,0.5106,profilenam abbi chase gluten free
0.0,1.0,0.0,0.0,helpfulnessnumer 2
0.0,1.0,0.0,0.0,helpfulnessdenomin 2
0.0,1.0,0.0,0.0,score 5
0.0,0.286,0.714,0.8176,summari love gluten free oatmeal
0.0,0.756,0.244,0.7964,text us celiac diseas product lifesav could better get almost half price groceri health food store love mccann instant oatmeal flavorsbr br thanksbr abbi
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam zardoz focuspul
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari oatmeal
0.0,0.909,0.091,0.4404,text els need know oatmeal instant make half cup lowfat milk add raisinsnuk 90 second expens kroger store brand oatmeal mayb littl tastier better textur someth still oatmeal mmm conveni
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam jerri reith
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 4
0.0,0.58,0.42,0.4404,summari good way start day
0.0,0.881,0.119,0.7269,text visit friend nate morn coffe came storag room packet mccann instant irish oatmeal suggest tri use stash sometim nate dose give chanc say end tri appl cinn found tasteful made water powder milk goe good oj coffe slice toast readi take worldor day least jerri reith
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam kypondman
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari wife favorit breakfast
0.0,0.928,0.072,0.3041,text order wife reccomend daughter almost everi morn like flavor she happi im happybr hrefhttpwwwamazoncomgpproductb001eo5qw8mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6a
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam garrett
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.594,0.406,0.6249,summari wouldnt buy oatmeal mcann tast great
0.0,0.865,0.135,0.8591,text varieti pack tast greatbr br everi morn 030 cent per meal dont understand everyon earth isnt buy stuff upbr br mapl brown sugar terrif follow appl cinnamon follow regular dont get tire ole thing tast greatbr br boil water small pot empti packet 2 bowl pour boil water watch expand 2x sizebr br tast realli good take minut preparebr br sure everyon earth isnt conveni healthi quick excel qualiti extrem cheap
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.524,0.476,0.0,-0.5106,profilenam dick baldwin christob
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.441,0.559,0.5859,summari oatmeal oatmeal lover
0.054,0.727,0.219,0.9485,text mccann make oatmeal everi oatmeal connoisseur whether one like raw pellet state cook half hour sloth addl instant done microwav three minut good that sure beauti instant varieti avail differ flavor well regularbr varieti pack allow differ tast explor well give chanc experi differ mccann wellknown oatmeal person like mccann cook thicker bodi top brand america appl cinnamon though tend littl liquidi may want experi amount water add 1300watt microwav oatmeal cook one minut twentyseven second also watch get handl much time water usebr bad thing consid bad thing offer buy lot youll end six tencount box good whole famili oatmealeat your singl person alon well love oatmeal
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam roger puglies
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari foodgreat
0.0,0.517,0.483,0.9201,text mccann oatmeal everi morn order amazon abl save almost 300 per boxbr great product tast great healthi
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam mother 9
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.508,0.492,0.4404,summari good hot breakfast
0.0,0.63,0.37,0.8316,text mccann oatmeal good qualiti choic favorit appl cinnamon find none overli sugari good hot breakfast 2 minut excel
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam leschk
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.423,0.577,0.6249,summari great tast conveni
0.067,0.669,0.264,0.7351,text realli like mccann steel cut oat find dont cook oftenbr tast much better groceri store brand convenientbr anyth keep eat oatmeal regularli good thing
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam k freel
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 3
0.0,1.0,0.0,0.0,summari hearti oatmeal
0.0,1.0,0.0,0.0,text seem littl wholesom supermarket brand somewhat mushi doesnt quit much flavor either didnt pass muster kid probabl wont buy
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam grumpyrainbow
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.256,0.744,0.4404,summari good
0.0,0.602,0.398,0.9169,text good oatmeal like appl cinnamon best though wouldnt follow direct packag sinc alway come soupi tast could sinc like oatmeal realli thick add milk top
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam kbogo shoelov
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 2
0.0,1.0,0.0,0.0,score 3
0.0,1.0,0.0,0.0,summari mushi
0.0,0.756,0.244,0.4404,text flavor good howev see differc oaker oat brand mushi
0.0,1.0,0.0,0.0,productid b001eo5qw8
0.0,1.0,0.0,0.0,profilenam knitti pant
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 2
0.0,1.0,0.0,0.0,score 4
0.0,0.707,0.293,0.4404,summari good next time wont order varieti pack
0.155,0.665,0.18,-0.0258,text realli like mapl brown sugar flavor regular fine brown sugar ad appl cinnamon flavor ok quick easi satisfi breakfast ill order brand varieti ill get mapl brown sugar
